Crop,Region,Soil_Type,Soil_pH,Rainfall_mm,Temperature_C,Humidity_pct,Fertilizer_Used_kg,Pesticides_Used_kg,Planting_Density,Irrigation,Previous_Crop,irrigation_needed,Yield_ton_per_ha
Wheat,East,Silt,6.620922455400096,207.74636562026285,36.89994932969911,35.542250356553794,145.7216852558261,64.84533678883483,194.83680618066248,Drip,Maize,0,4.511739467578099
Barley,West,Silt,6.49873628869421,412.00961749814746,20.535359867961347,33.6452237752812,118.89386803012897,13.501312098678774,164.2226662743087,Drip,Wheat,0,2.8606030147889276
Maize,East,Loam,6.0284617375085805,248.11795763800487,25.399190831096586,66.25151704461985,194.6747787295911,65.10343067890611,168.9538837458324,Flood,Rice,0,3.704540441371684
Wheat,West,Clay,7.321800010304464,26.09334955681558,34.89841910573455,87.96697934956529,82.84676764763573,18.070174608770465,177.10066922713827,Sprinkler,Wheat,1,4.951445797855975
Rice,West,Clay,6.929872481525887,61.583809880868216,29.462680335734397,60.16327853728344,138.1784623998411,73.93098146668726,180.54800015474225,Drip,Rice,1,7.06098407594706
Rice,East,Clay,8.09710297697201,74.28012824466309,37.15713115904681,33.09091355635831,155.0315022485334,45.10698819228375,186.33927138158163,None,Maize,1,6.491583631341969
Rice,South,Clay,5.596328741446174,89.46693179314492,43.83623703668579,43.27311936464737,173.83467340180724,85.39268424116668,188.31900434452416,Drip,Rice,1,2.501453234930672
Barley,West,Loam,7.431603782665379,250.00110478632777,18.496400631455924,44.68757438494624,111.04565456420107,94.82763207386175,218.3574518231304,Sprinkler,Maize,0,5.276944064847697
Maize,East,Loam,7.788846635534684,210.33310870486645,36.28703149194183,50.271427748217,153.03828614862223,47.53993073190481,226.43597862390618,Drip,Wheat,0,7.234104720771924
Maize,North,Loam,7.778459707564921,68.1304263941972,21.910324668963437,32.61620301517276,95.48022070764242,51.44997659263716,196.33188121895338,None,None,1,5.46266143079432
Rice,East,Loam,8.158221901286575,20.98348276531348,27.434301822227077,84.29356202987498,115.32141385427305,63.11328229115652,286.0944629881092,Sprinkler,Wheat,1,2.389625335978689
Barley,North,Clay,7.687101228488482,56.41698486702575,15.985881773854194,60.93383668328971,184.34406968050988,27.741944967224548,232.97095850084318,None,Maize,0,6.938721885623778
Barley,West,Silt,8.28343018494309,1247.7861517750011,19.07722146878097,70.25584757724654,192.48614139964315,93.45995567455252,268.121539205011,None,Barley,0,7.440618185464364
Rice,East,Sandy,6.497969799462674,189.64212588322252,24.59331867146699,34.030370213700536,157.8226020390897,48.96999338512354,288.6356748631265,None,Barley,1,4.335133703417533
Rice,East,Loam,7.009628250254629,606.0021931680956,25.25957415863955,33.24692806821896,106.15278361642775,25.013830232440657,174.4702671863708,Sprinkler,Barley,0,3.8608212525370433
Rice,North,Silt,5.542238989848672,566.6512472275524,41.98755649386287,65.18806632243283,173.00866849619962,78.64586500769956,214.18117255734518,Sprinkler,Wheat,0,5.260103801890951
Wheat,East,Loam,5.520872761909874,214.93675321461052,37.25438727799545,83.23776063025248,53.88006225881303,29.723623519958668,214.98156025719132,None,Rice,0,7.904528453477476
Wheat,East,Clay,6.22037986135456,367.9552188417521,44.16548904561123,61.70892005757282,65.41188658091316,22.917634756466946,203.17083756575312,None,None,0,7.024785540010453
Wheat,West,Clay,5.802421591417255,64.23730793792252,32.972145310057215,82.66915035420429,149.20606045630416,60.658486794460636,151.33587998274598,Flood,None,1,6.866334753625451
Rice,East,Silt,6.280634103807261,349.8073171057373,22.25141196273954,78.65947638331436,93.68728629050861,70.43457297624317,272.39581616671427,Sprinkler,Wheat,0,3.1588610986536287
Maize,South,Silt,6.0311298835851925,95.39479157612135,24.829650897649287,34.55122714769524,192.70793276007166,61.260646659842465,166.73389823308543,Drip,Maize,1,7.370992252587343
Rice,North,Silt,5.585560074515945,535.248297432932,24.595077698759013,42.11744846314139,115.4090918138457,69.08595840526269,299.3220896882639,Sprinkler,Wheat,0,5.335674397767839
Rice,East,Clay,8.227912439218148,26.23133847622083,24.794829829897548,69.46264014932055,114.40472305837655,20.397161107697002,265.94377378667724,Flood,Barley,1,7.501271930966636
Wheat,North,Clay,5.524669394166675,445.02490258203073,35.18892519335447,56.61008295300249,151.7119265286397,52.841623409569664,237.00150264097718,Flood,Maize,0,5.910263964720487
Wheat,North,Sandy,7.708246433011256,31.587124290701635,30.924237842712486,47.44198881881523,165.13528434592843,42.13167796796871,173.1909626612396,None,None,1,7.005002691951265
Maize,North,Silt,5.956443660758549,639.0669832873916,26.56272534259933,55.118031362878746,121.33381071877048,97.60317546161096,227.30894570898704,Sprinkler,Wheat,0,2.9931543037889687
Rice,East,Sandy,8.2366888659988,108.80985291737696,19.4726930618615,56.71197877623806,82.10013525675862,14.466154076152069,189.16631112867134,Drip,Rice,1,6.239128781595746
Wheat,East,Loam,8.178387818769657,318.73621297527876,15.664174888264377,84.63313504929579,165.99629640884325,36.846478275393075,187.84837868146042,Sprinkler,Rice,0,3.5435128207947066
Wheat,North,Sandy,7.461703439107772,200.5377042203426,21.565040327630776,36.20749702229718,98.05269123104414,94.76759746825498,274.4293874073728,Flood,None,0,3.013413181890883
Rice,South,Loam,7.516702449401816,136.8553757985508,18.22414211906044,46.783844808456905,76.26661539407864,98.51465648658966,207.0966635939152,Drip,Maize,1,5.443893974699363
Maize,North,Loam,5.516017425909066,311.06485955462335,38.56335092556718,62.253888994962836,144.746028488752,84.24114469544202,217.60857050862063,Drip,Barley,0,5.616446682806694
Rice,South,Sandy,8.454614698340805,884.2139789998511,18.37493873441656,71.8972155978355,63.568050048552564,16.839841961476836,276.4447106670177,None,Rice,0,4.943706844707214
Rice,North,Silt,8.133497810727443,12.643657054110484,36.72684711920509,67.83823733755462,195.70290126290823,60.521952550918634,163.16859385782638,Sprinkler,Rice,1,2.5342448306017453
Barley,West,Loam,8.185318677190276,753.4473534856053,26.56976069328248,86.49856426424367,144.85958966182054,46.01106934034204,239.19267796365745,Sprinkler,Wheat,0,3.468494144015138
Barley,North,Silt,7.477733611152615,281.77697315310036,17.20135169231328,77.73653548916839,197.88432813826338,82.58073109258615,236.73235220595566,Sprinkler,None,0,3.4127053285548703
Barley,North,Clay,6.53436078596361,494.00847567631956,39.38190148294757,63.42461051846582,100.83401352179541,14.952181201419997,213.78218539000127,Drip,Rice,0,3.8822123600812617
Wheat,East,Loam,8.180945947271443,145.2916015134688,32.3889171070984,42.88096150041045,195.6807741785597,27.74158764802319,274.46619621361396,Flood,Wheat,0,5.768392419984851
Rice,South,Clay,6.374550784453577,191.5084930045377,22.072845385907193,57.05245388413439,71.83433715929354,54.02755596003665,291.4335092003539,Flood,Maize,0,4.627923617337107
Maize,West,Sandy,7.1881346300266085,609.4257915186233,41.84043522998004,71.60293465166865,56.10421585205427,24.188289665304424,219.8003792870416,None,Rice,0,7.810310729725883
Wheat,South,Silt,5.799192917031647,160.76507545393275,16.357749416116544,80.2777304901651,54.94760906819038,72.34436284248685,218.42205764975995,Flood,None,0,2.09506426810991
